ts,open,high,low,close,volume,quote_volume,trades,taker_buy_volume
1777603980000,2267.37,2267.37,2266.75,2266.76,30.1849,68436.022837,399,6.0183
1777604040000,2266.76,2266.84,2266.41,2266.42,32.9698,74726.079948,404,19.1382
1777604100000,2266.41,2266.42,2265.87,2266.06,32.2656,73117.098613,736,4.6621
1777604160000,2266.05,2266.05,2265.54,2265.57,29.6938,67283.613539,546,4.9496
1777604220000,2265.57,2265.57,2265.3,2265.31,12.2077,27656.837407,254,7.5783
1777604280000,2265.3,2266.46,2265.3,2266.46,54.0834,122546.699865,903,51.8929
1777604340000,2266.46,2266.94,2266.46,2266.94,28.8592,65420.153749,382,26.6979
1777604400000,2266.94,2267.1,2266.68,2266.68,36.1388,81927.23256,521,6.9444
1777604460000,2266.68,2266.68,2266.32,2266.32,34.3949,77954.807478,406,1.4771
1777604520000,2266.33,2267.46,2266.25,2267.45,93.8152,212645.987102,903,82.6945
1777604580000,2267.46,2267.46,2266.25,2266.4,105.0853,238200.128948,1133,13.855
1777604640000,2266.41,2266.41,2266.33,2266.34,9.2792,21030.016734,197,3.3223
1777604700000,2266.34,2266.9,2266.33,2266.78,53.2424,120680.681644,716,24.0687
1777604760000,2266.78,2266.9,2266.6,2266.9,48.0235,108856.931211,385,11.7993
1777604820000,2266.89,2268.21,2266.89,2268.2,24.196,54867.019824,855,19.6429
1777604880000,2268.21,2269.34,2268.2,2269.23,169.4518,384431.409885,920,148.7412
1777604940000,2269.23,2269.24,2268.91,2269.04,30.8013,69890.59998,471,11.7426
1777605000000,2269.05,2270.68,2269.05,2270.38,181.9363,413029.70283,1905,103.2876
1777605060000,2270.37,2270.38,2269.89,2269.89,56.4953,128253.010512,411,1.4123
1777605120000,2269.9,2270.35,2269.89,2270.34,28.9471,65717.698253,358,10.4353
1777605180000,2270.35,2270.35,2269.71,2269.8,25.8198,58609.412041,650,11.3136
1777605240000,2269.79,2269.8,2269.36,2269.76,72.5941,164767.558632,654,57.2086
1777605300000,2269.76,2270.25,2269.55,2270.24,24.3971,55379.603262,693,15.9607
1777605360000,2270.25,2270.7,2269.8,2270.7,70.816,160767.33749,911,39.8921
1777605420000,2270.71,2277.02,2270.71,2274.57,1336.3162,3040480.496307,8945,931.7097
1777605480000,2274.57,2274.57,2273.22,2274.26,62.5953,142325.949799,2622,27.9566
1777605540000,2274.27,2287.14,2274.27,2287.14,2209.8712,5042292.811483,13733,1858.5201
1777605600000,2287.14,2293.53,2284.93,2286.33,3034.2161,6945772.395646,17343,1632.3648
1777605660000,2286.33,2291.24,2286.24,2286.92,722.4068,1653343.787513,9553,160.2672
1777605720000,2286.92,2293.86,2286.92,2293.84,829.3716,1899487.817507,9190,522.327
1777605780000,2293.84,2295.0,2289.81,2290.58,659.4045,1511397.039455,9458,304.5924
1777605840000,2290.58,2292.0,2287.92,2288.8,704.2548,1612445.410957,4929,139.8032
1777605900000,2288.8,2288.81,2286.0,2286.4,714.4484,1634538.869069,4324,157.8634
1777605960000,2286.39,2288.0,2286.12,2287.87,251.7055,575657.334331,3067,111.8597
1777606020000,2287.86,2289.81,2287.67,2288.23,381.2464,872472.942038,3069,261.9365
1777606080000,2288.23,2289.56,2287.76,2287.85,221.285,506479.505081,3006,81.3005
1777606140000,2287.85,2288.79,2284.75,2284.93,237.1132,542170.328986,3424,42.7207
1777606200000,2284.93,2287.11,2284.93,2286.57,202.7837,463635.114524,3222,116.2354
1777606260000,2286.57,2287.03,2284.59,2286.04,274.4273,627139.316151,2414,69.0633
1777606320000,2286.03,2288.0,2286.03,2286.27,332.0368,759443.498549,4050,248.8554
1777606380000,2286.27,2286.63,2285.45,2286.5,92.6666,211828.612591,2021,59.0583
1777606440000,2286.51,2287.62,2286.5,2286.92,81.1463,185602.737533,1838,38.8742
1777606500000,2286.91,2287.4,2286.91,2287.28,30.4906,69735.32791,1027,15.4866
1777606560000,2287.28,2287.28,2286.71,2287.12,56.0783,128253.952634,816,18.8385
1777606620000,2287.12,2288.32,2286.32,2286.33,89.4799,204691.66663,1918,33.7931
1777606680000,2286.33,2286.58,2284.49,2284.49,148.5495,339521.07359,2354,8.0753
